Fecha,ID_Producto,Producto,Cantidad,PrecioUnitario,Total,Region
2025-03-17,101,Silla,8,350,2800,Arequipa
2025-03-21,105,Teclado,11,250,2750,Cusco
2025-03-24,104,Monitor,9,1200,10800,Cusco
2025-03-26,105,Teclado,4,250,1000,Lima
2025-03-17,102,Escritorio,5,850,4250,Cusco
2025-03-14,104,Monitor,4,1200,4800,Cusco
2025-03-23,106,Mouse,5,180,900,Lima
2025-03-09,103,Laptop,15,3200,48000,Arequipa
2025-03-17,104,Monitor,3,1200,3600,Lima
2025-03-07,105,Teclado,1,250,250,Lima
2025-03-28,104,Monitor,9,1200,10800,Arequipa
2025-03-13,106,Mouse,13,180,2340,Cusco
2025-03-03,102,Escritorio,12,850,10200,Trujillo
2025-03-17,104,Monitor,12,1200,14400,Cusco
2025-03-17,106,Mouse,10,180,1800,Cusco
2025-03-02,103,Laptop,5,3200,16000,Cusco
2025-03-07,106,Mouse,10,180,1800,Lima
2025-03-21,102,Escritorio,3,850,2550,Lima
2025-03-12,104,Monitor,11,1200,13200,Trujillo
2025-03-23,101,Silla,14,350,4900,Cusco
2025-03-20,102,Escritorio,7,850,5950,Lima
2025-03-12,101,Silla,12,350,4200,Arequipa
2025-03-21,102,Escritorio,14,850,11900,Lima
2025-03-20,102,Escritorio,10,850,8500,Trujillo
2025-03-08,104,Monitor,4,1200,4800,Lima
2025-03-06,105,Teclado,14,250,3500,Arequipa
2025-03-13,103,Laptop,14,3200,44800,Cusco
2025-03-08,103,Laptop,1,3200,3200,Lima
2025-03-21,104,Monitor,10,1200,12000,Lima
2025-03-26,103,Laptop,5,3200,16000,Lima
2025-03-15,102,Escritorio,11,850,9350,Arequipa
2025-03-04,102,Escritorio,1,850,850,Arequipa
2025-03-12,106,Mouse,10,180,1800,Arequipa
2025-03-11,101,Silla,9,350,3150,Lima
2025-03-05,101,Silla,5,350,1750,Arequipa
2025-03-18,101,Silla,11,350,3850,Arequipa
2025-03-25,106,Mouse,1,180,180,Trujillo
2025-03-26,105,Teclado,3,250,750,Lima
2025-03-28,103,Laptop,9,3200,28800,Lima
2025-03-19,106,Mouse,1,180,180,Arequipa
2025-03-12,101,Silla,15,350,5250,Cusco
2025-03-23,105,Teclado,5,250,1250,Trujillo
2025-03-17,102,Escritorio,15,850,12750,Cusco
2025-03-27,104,Monitor,13,1200,15600,Trujillo
2025-03-07,105,Teclado,8,250,2000,Arequipa
2025-03-23,103,Laptop,14,3200,44800,Cusco
2025-03-11,106,Mouse,11,180,1980,Arequipa
2025-03-04,105,Teclado,14,250,3500,Cusco
2025-03-06,101,Silla,9,350,3150,Trujillo
2025-03-22,102,Escritorio,14,850,11900,Arequipa
2025-03-05,105,Teclado,14,250,3500,Trujillo
2025-03-05,103,Laptop,14,3200,44800,Cusco
2025-03-11,101,Silla,9,350,3150,Arequipa
2025-03-21,103,Laptop,6,3200,19200,Trujillo
2025-03-25,106,Mouse,7,180,1260,Lima
2025-03-11,103,Laptop,15,3200,48000,Lima
2025-03-17,102,Escritorio,1,850,850,Lima
2025-03-24,105,Teclado,7,250,1750,Cusco
2025-03-24,103,Laptop,5,3200,16000,Trujillo
2025-03-22,104,Monitor,2,1200,2400,Cusco
2025-03-23,101,Silla,14,350,4900,Cusco
2025-03-10,105,Teclado,9,250,2250,Lima
2025-03-11,106,Mouse,14,180,2520,Lima
2025-03-05,105,Teclado,10,250,2500,Cusco
2025-03-23,103,Laptop,7,3200,22400,Cusco
2025-03-11,101,Silla,4,350,1400,Lima
2025-03-28,104,Monitor,15,1200,18000,Trujillo
2025-03-12,105,Teclado,15,250,3750,Cusco
2025-03-23,103,Laptop,10,3200,32000,Arequipa
2025-03-11,103,Laptop,14,3200,44800,Lima
2025-03-25,101,Silla,9,350,3150,Arequipa
2025-03-15,106,Mouse,3,180,540,Trujillo
2025-03-15,103,Laptop,5,3200,16000,Trujillo
2025-03-16,106,Mouse,8,180,1440,Cusco
2025-03-28,103,Laptop,10,3200,32000,Arequipa
2025-03-23,103,Laptop,5,3200,16000,Lima
2025-03-17,102,Escritorio,4,850,3400,Trujillo
2025-03-10,102,Escritorio,14,850,11900,Arequipa
