Fecha,ID_Producto,Producto,Cantidad,PrecioUnitario,Total,Region
2025-01-02,104,Monitor,4,1200,4800,Lima
2025-01-28,102,Escritorio,12,850,10200,Lima
2025-01-05,101,Silla,11,350,3850,Trujillo
2025-01-22,102,Escritorio,7,850,5950,Trujillo
2025-01-24,102,Escritorio,11,850,9350,Arequipa
2025-01-13,103,Laptop,12,3200,38400,Trujillo
2025-01-23,102,Escritorio,12,850,10200,Arequipa
2025-01-07,102,Escritorio,12,850,10200,Cusco
2025-01-09,105,Teclado,8,250,2000,Arequipa
2025-01-14,105,Teclado,2,250,500,Trujillo
2025-01-04,101,Silla,13,350,4550,Lima
2025-01-01,101,Silla,10,350,3500,Cusco
2025-01-14,105,Teclado,9,250,2250,Trujillo
2025-01-01,106,Mouse,12,180,2160,Trujillo
2025-01-24,102,Escritorio,14,850,11900,Arequipa
2025-01-10,104,Monitor,5,1200,6000,Trujillo
2025-01-19,105,Teclado,15,250,3750,Arequipa
2025-01-17,106,Mouse,8,180,1440,Cusco
2025-01-21,105,Teclado,6,250,1500,Cusco
2025-01-14,101,Silla,8,350,2800,Lima
2025-01-01,105,Teclado,11,250,2750,Arequipa
2025-01-14,104,Monitor,2,1200,2400,Cusco
2025-01-22,106,Mouse,11,180,1980,Cusco
2025-01-04,106,Mouse,9,180,1620,Lima
2025-01-25,103,Laptop,6,3200,19200,Trujillo
2025-01-09,102,Escritorio,12,850,10200,Trujillo
2025-01-27,104,Monitor,10,1200,12000,Cusco
2025-01-16,103,Laptop,15,3200,48000,Arequipa
2025-01-18,106,Mouse,4,180,720,Trujillo
2025-01-02,105,Teclado,15,250,3750,Cusco
2025-01-19,102,Escritorio,9,850,7650,Lima
2025-01-13,106,Mouse,6,180,1080,Trujillo
2025-01-03,103,Laptop,15,3200,48000,Arequipa
2025-01-26,104,Monitor,9,1200,10800,Cusco
2025-01-15,106,Mouse,8,180,1440,Lima
2025-01-25,105,Teclado,9,250,2250,Arequipa
2025-01-08,104,Monitor,5,1200,6000,Cusco
2025-01-20,103,Laptop,1,3200,3200,Trujillo
2025-01-20,105,Teclado,6,250,1500,Arequipa
2025-01-13,105,Teclado,1,250,250,Arequipa
2025-01-02,106,Mouse,6,180,1080,Arequipa
2025-01-17,102,Escritorio,1,850,850,Trujillo
2025-01-26,103,Laptop,7,3200,22400,Arequipa
2025-01-08,103,Laptop,15,3200,48000,Cusco
2025-01-09,102,Escritorio,6,850,5100,Trujillo
2025-01-06,105,Teclado,6,250,1500,Lima
2025-01-04,102,Escritorio,14,850,11900,Cusco
2025-01-27,104,Monitor,1,1200,1200,Arequipa
2025-01-03,105,Teclado,8,250,2000,Lima
2025-01-02,105,Teclado,9,250,2250,Arequipa
2025-01-10,103,Laptop,14,3200,44800,Trujillo
2025-01-13,105,Teclado,5,250,1250,Trujillo
2025-01-10,101,Silla,15,350,5250,Lima
2025-01-13,102,Escritorio,8,850,6800,Cusco
2025-01-15,104,Monitor,5,1200,6000,Trujillo
2025-01-19,106,Mouse,15,180,2700,Lima
2025-01-03,106,Mouse,12,180,2160,Trujillo
2025-01-06,101,Silla,3,350,1050,Lima
2025-01-25,103,Laptop,1,3200,3200,Arequipa
2025-01-27,106,Mouse,10,180,1800,Trujillo
2025-01-12,106,Mouse,6,180,1080,Trujillo
2025-01-23,106,Mouse,9,180,1620,Lima
2025-01-21,106,Mouse,10,180,1800,Lima
2025-01-27,101,Silla,13,350,4550,Cusco
2025-01-17,101,Silla,6,350,2100,Arequipa
2025-01-12,102,Escritorio,4,850,3400,Arequipa
2025-01-23,105,Teclado,7,250,1750,Trujillo
2025-01-27,101,Silla,2,350,700,Arequipa
2025-01-11,105,Teclado,6,250,1500,Lima
2025-01-19,101,Silla,3,350,1050,Cusco
2025-01-26,104,Monitor,4,1200,4800,Lima
2025-01-01,101,Silla,15,350,5250,Lima
2025-01-10,102,Escritorio,14,850,11900,Cusco
2025-01-18,104,Monitor,2,1200,2400,Lima
2025-01-02,103,Laptop,9,3200,28800,Trujillo
2025-01-21,106,Mouse,15,180,2700,Lima
2025-01-20,105,Teclado,5,250,1250,Lima
2025-01-13,102,Escritorio,15,850,12750,Cusco
2025-01-12,101,Silla,15,350,5250,Cusco
2025-01-04,101,Silla,10,350,3500,Arequipa
2025-01-18,105,Teclado,7,250,1750,Trujillo
2025-01-14,101,Silla,9,350,3150,Trujillo
2025-01-01,101,Silla,8,350,2800,Lima
2025-01-20,106,Mouse,5,180,900,Arequipa
2025-01-07,105,Teclado,14,250,3500,Arequipa
2025-01-23,105,Teclado,15,250,3750,Cusco
2025-01-23,101,Silla,8,350,2800,Lima
2025-01-03,105,Teclado,7,250,1750,Arequipa
2025-01-07,105,Teclado,4,250,1000,Arequipa
2025-01-07,101,Silla,13,350,4550,Cusco
2025-01-06,105,Teclado,6,250,1500,Arequipa
2025-01-28,101,Silla,10,350,3500,Cusco
2025-01-02,101,Silla,11,350,3850,Arequipa
2025-01-22,104,Monitor,14,1200,16800,Lima
2025-01-12,104,Monitor,8,1200,9600,Cusco
2025-01-23,104,Monitor,3,1200,3600,Trujillo
2025-01-01,103,Laptop,9,3200,28800,Trujillo
2025-01-03,104,Monitor,2,1200,2400,Arequipa
2025-01-24,104,Monitor,13,1200,15600,Arequipa
2025-01-21,106,Mouse,1,180,180,Arequipa
2025-01-19,101,Silla,7,350,2450,Cusco
2025-01-11,101,Silla,7,350,2450,Trujillo
2025-01-06,106,Mouse,2,180,360,Lima
2025-01-14,101,Silla,9,350,3150,Lima
2025-01-18,106,Mouse,2,180,360,Lima
2025-01-24,101,Silla,11,350,3850,Arequipa
2025-01-21,106,Mouse,12,180,2160,Arequipa
2025-01-28,106,Mouse,10,180,1800,Arequipa
2025-01-06,102,Escritorio,1,850,850,Cusco
2025-01-28,103,Laptop,10,3200,32000,Trujillo
