Fecha,ID_Producto,Producto,Cantidad,PrecioUnitario,Total,Region
2025-03-23,101,Silla,8,350,2800,Lima
2025-03-05,102,Escritorio,14,850,11900,Lima
2025-03-09,103,Laptop,12,3200,38400,Cusco
2025-03-15,103,Laptop,7,3200,22400,Trujillo
2025-03-27,101,Silla,6,350,2100,Cusco
2025-03-15,101,Silla,12,350,4200,Trujillo
2025-03-10,104,Monitor,1,1200,1200,Cusco
2025-03-19,104,Monitor,9,1200,10800,Arequipa
2025-03-04,105,Teclado,2,250,500,Trujillo
2025-03-24,106,Mouse,14,180,2520,Cusco
2025-03-21,103,Laptop,8,3200,25600,Trujillo
2025-03-26,104,Monitor,15,1200,18000,Trujillo
2025-03-12,104,Monitor,15,1200,18000,Trujillo
2025-03-13,106,Mouse,7,180,1260,Trujillo
2025-03-13,103,Laptop,8,3200,25600,Lima
2025-03-05,105,Teclado,6,250,1500,Lima
2025-03-24,105,Teclado,11,250,2750,Cusco
2025-03-19,106,Mouse,3,180,540,Trujillo
2025-03-11,103,Laptop,6,3200,19200,Arequipa
2025-03-12,101,Silla,8,350,2800,Lima
2025-03-20,103,Laptop,10,3200,32000,Trujillo
2025-03-19,105,Teclado,3,250,750,Trujillo
2025-03-12,102,Escritorio,8,850,6800,Cusco
2025-03-05,106,Mouse,5,180,900,Arequipa
2025-03-03,101,Silla,7,350,2450,Cusco
2025-03-14,106,Mouse,1,180,180,Arequipa
2025-03-18,105,Teclado,14,250,3500,Trujillo
2025-03-21,106,Mouse,4,180,720,Trujillo
2025-03-02,106,Mouse,5,180,900,Lima
2025-03-16,104,Monitor,13,1200,15600,Arequipa
2025-03-28,103,Laptop,7,3200,22400,Trujillo
2025-03-02,102,Escritorio,10,850,8500,Arequipa
2025-03-28,102,Escritorio,13,850,11050,Lima
2025-03-02,103,Laptop,4,3200,12800,Arequipa
2025-03-23,101,Silla,9,350,3150,Arequipa
2025-03-08,105,Teclado,14,250,3500,Arequipa
2025-03-03,101,Silla,15,350,5250,Lima
2025-03-28,101,Silla,13,350,4550,Cusco
2025-03-13,106,Mouse,1,180,180,Cusco
2025-03-18,103,Laptop,9,3200,28800,Cusco
2025-03-16,103,Laptop,9,3200,28800,Cusco
2025-03-23,103,Laptop,3,3200,9600,Cusco
2025-03-19,103,Laptop,3,3200,9600,Trujillo
2025-03-03,101,Silla,6,350,2100,Cusco
2025-03-20,102,Escritorio,7,850,5950,Trujillo
2025-03-15,103,Laptop,6,3200,19200,Arequipa
2025-03-15,103,Laptop,2,3200,6400,Arequipa
2025-03-15,106,Mouse,9,180,1620,Lima
2025-03-11,106,Mouse,4,180,720,Cusco
2025-03-20,104,Monitor,7,1200,8400,Trujillo
2025-03-07,102,Escritorio,11,850,9350,Cusco
2025-03-24,106,Mouse,15,180,2700,Trujillo
2025-03-03,106,Mouse,5,180,900,Trujillo
2025-03-05,106,Mouse,9,180,1620,Cusco
2025-03-02,106,Mouse,7,180,1260,Lima
2025-03-24,105,Teclado,10,250,2500,Lima
2025-03-05,106,Mouse,7,180,1260,Cusco
2025-03-20,104,Monitor,15,1200,18000,Cusco
2025-03-14,106,Mouse,8,180,1440,Arequipa
2025-03-13,105,Teclado,4,250,1000,Cusco
2025-03-17,102,Escritorio,7,850,5950,Cusco
2025-03-19,101,Silla,8,350,2800,Trujillo
2025-03-16,102,Escritorio,7,850,5950,Lima
2025-03-01,101,Silla,14,350,4900,Arequipa
2025-03-27,106,Mouse,15,180,2700,Trujillo
2025-03-25,101,Silla,10,350,3500,Lima
2025-03-20,106,Mouse,13,180,2340,Cusco
2025-03-22,106,Mouse,12,180,2160,Arequipa
2025-03-18,101,Silla,4,350,1400,Trujillo
2025-03-05,102,Escritorio,2,850,1700,Lima
2025-03-03,103,Laptop,11,3200,35200,Lima
2025-03-12,106,Mouse,5,180,900,Trujillo
2025-03-10,102,Escritorio,14,850,11900,Cusco
2025-03-06,104,Monitor,12,1200,14400,Arequipa
2025-03-13,101,Silla,2,350,700,Cusco
2025-03-07,104,Monitor,7,1200,8400,Arequipa
2025-03-22,105,Teclado,4,250,1000,Cusco
2025-03-05,101,Silla,9,350,3150,Cusco
2025-03-05,102,Escritorio,12,850,10200,Trujillo
2025-03-08,102,Escritorio,6,850,5100,Lima
2025-03-08,103,Laptop,1,3200,3200,Lima
2025-03-11,106,Mouse,8,180,1440,Cusco
2025-03-17,105,Teclado,13,250,3250,Cusco
2025-03-09,101,Silla,11,350,3850,Arequipa
2025-03-10,101,Silla,3,350,1050,Cusco
2025-03-12,102,Escritorio,13,850,11050,Lima
2025-03-12,104,Monitor,5,1200,6000,Lima
2025-03-07,106,Mouse,10,180,1800,Arequipa
2025-03-02,102,Escritorio,9,850,7650,Trujillo
2025-03-09,101,Silla,3,350,1050,Cusco
2025-03-26,101,Silla,5,350,1750,Arequipa
2025-03-20,101,Silla,1,350,350,Lima
2025-03-04,104,Monitor,8,1200,9600,Arequipa
2025-03-11,102,Escritorio,11,850,9350,Arequipa
2025-03-28,102,Escritorio,13,850,11050,Trujillo
2025-03-21,104,Monitor,11,1200,13200,Arequipa
2025-03-12,104,Monitor,7,1200,8400,Cusco
2025-03-13,103,Laptop,8,3200,25600,Lima
2025-03-15,104,Monitor,3,1200,3600,Cusco
2025-03-11,104,Monitor,4,1200,4800,Cusco
2025-03-04,103,Laptop,9,3200,28800,Cusco
2025-03-06,104,Monitor,2,1200,2400,Trujillo
2025-03-04,104,Monitor,7,1200,8400,Cusco
2025-03-19,106,Mouse,4,180,720,Arequipa
2025-03-28,105,Teclado,12,250,3000,Arequipa
2025-03-06,105,Teclado,5,250,1250,Trujillo
2025-03-27,106,Mouse,1,180,180,Arequipa
2025-03-02,101,Silla,6,350,2100,Lima
2025-03-09,102,Escritorio,15,850,12750,Arequipa
2025-03-19,106,Mouse,4,180,720,Lima
2025-03-16,104,Monitor,3,1200,3600,Cusco
2025-03-10,105,Teclado,3,250,750,Trujillo
2025-03-07,104,Monitor,4,1200,4800,Lima
2025-03-28,102,Escritorio,10,850,8500,Lima
2025-03-04,102,Escritorio,8,850,6800,Lima
2025-03-12,102,Escritorio,8,850,6800,Arequipa
2025-03-26,105,Teclado,12,250,3000,Cusco
2025-03-22,103,Laptop,8,3200,25600,Lima
2025-03-06,103,Laptop,13,3200,41600,Lima
2025-03-14,106,Mouse,2,180,360,Arequipa
2025-03-27,102,Escritorio,1,850,850,Trujillo
2025-03-22,106,Mouse,12,180,2160,Cusco
2025-03-02,105,Teclado,2,250,500,Lima
