id,order_id,order_date,customer_id,product_name,category_name,quantity,unit_price,line_total
19852,5626,2023-01-01T01:19:53,126,Fueron Max,Ratones,2,905.63,1811.26
19853,5626,2023-01-01T01:19:53,126,Lugar Plus,Tablets,1,1617.95,1617.95
19854,5626,2023-01-01T01:19:53,126,Trabajo Elite,Impresoras,3,129.85,389.54999999999995
19855,5626,2023-01-01T01:19:53,126,Economía Max,Accesorios,1,1740.5,1740.5
19856,5626,2023-01-01T01:19:53,126,Carlos Pro,Monitores,3,161.22,483.65999999999997
11153,3162,2023-01-01T03:11:24,114,Algunos Air,Redes,1,566.67,566.67
12859,3644,2023-01-01T19:58:51,194,Peso Plus,Cámaras,2,185.37,370.74
12860,3644,2023-01-01T19:58:51,194,Diferentes Ultra,Monitores,2,1445.35,2890.7
12861,3644,2023-01-01T19:58:51,194,Mal X,Smartphones,1,1845.63,1845.63
4561,1291,2023-01-01T20:14:31,48,Metros Max,Accesorios,1,1238.73,1238.73
4562,1291,2023-01-01T20:14:31,48,Pueblo Essential,Tablets,3,131.3,393.90000000000003
4563,1291,2023-01-01T20:14:31,48,Mis Max,Componentes,3,1173.26,3519.7799999999997
4564,1291,2023-01-01T20:14:31,48,Quiero Plus,Almacenamiento,1,584.33,584.33
4565,1291,2023-01-01T20:14:31,48,Fue Pro,Monitores,2,1105.26,2210.52
4566,1291,2023-01-01T20:14:31,48,Exterior Plus,Teclados,2,1842.32,3684.64
19304,5464,2023-01-01T23:55:29,183,C Max,Componentes,3,1708.13,5124.39
19305,5464,2023-01-01T23:55:29,183,Tras Lite,Redes,1,730.45,730.45
4535,1284,2023-01-02T13:19:19,211,C Max,Componentes,2,1708.13,3416.26
4536,1284,2023-01-02T13:19:19,211,Campaña Max,Software,1,1691.85,1691.85
4537,1284,2023-01-02T13:19:19,211,Suelo Essential,Smartphones,3,1112.29,3336.87
4538,1284,2023-01-02T13:19:19,211,Primer Ultra,Almacenamiento,3,1041.68,3125.04
18813,5325,2023-01-02T13:31:26,187,Perdido Max,Teclados,3,154.92,464.76
14055,3974,2023-01-02T21:07:39,102,G Max,Ratones,2,821.11,1642.22
14056,3974,2023-01-02T21:07:39,102,Objetivo Air,Smartphones,3,144.12,432.36
13465,3812,2023-01-03T04:11:39,108,Escuela Pro,Redes,1,1085.02,1085.02
13466,3812,2023-01-03T04:11:39,108,Vista Lite,Ratones,3,1246.45,3739.3500000000004
13467,3812,2023-01-03T04:11:39,108,Ahí Z,Altavoces,3,904.96,2714.88
13468,3812,2023-01-03T04:11:39,108,Misma Ultra,Cámaras,1,1151.06,1151.06
13469,3812,2023-01-03T04:11:39,108,General Lite,Teclados,1,734.79,734.79
13470,3812,2023-01-03T04:11:39,108,Después Essential,Tablets,1,577.64,577.64
9300,2631,2023-01-03T10:51:13,142,Experiencia X,Componentes,2,37.69,75.38
9301,2631,2023-01-03T10:51:13,142,Opinión Lite,Auriculares,3,462.91,1388.73
9302,2631,2023-01-03T10:51:13,142,Total Elite,Smartphones,3,1070.08,3210.24
9303,2631,2023-01-03T10:51:13,142,Llegado Max,Ratones,2,1795.43,3590.86
9304,2631,2023-01-03T10:51:13,142,Al Lite,Altavoces,1,1551.17,1551.17
10156,2885,2023-01-03T14:34:43,194,Político X,Cámaras,1,148.46,148.46
10157,2885,2023-01-03T14:34:43,194,Pequeño Max,Teclados,1,1019.16,1019.16
5166,1462,2023-01-04T00:53:10,28,Nivel Ultra,Altavoces,3,1266.45,3799.3500000000004
5167,1462,2023-01-04T00:53:10,28,Lucha Plus,Ratones,3,706.41,2119.23
5168,1462,2023-01-04T00:53:10,28,Toma Essential,Portátiles,1,593.41,593.41
4754,1346,2023-01-04T04:20:12,38,Base Air,Auriculares,1,1109.51,1109.51
3833,1086,2023-01-04T05:45:45,91,Posibilidad Plus,Impresoras,1,38.15,38.15
3834,1086,2023-01-04T05:45:45,91,Medio Ultra,Portátiles,3,1446.95,4340.85
3835,1086,2023-01-04T05:45:45,91,Modelo Essential,Impresoras,1,459.11,459.11
3836,1086,2023-01-04T05:45:45,91,Viaje Max,Ratones,1,935.41,935.41
14261,4033,2023-01-04T09:13:48,94,Dólares Plus,Portátiles,1,1006.16,1006.16
12132,3438,2023-01-04T11:18:03,28,Salida Lite,Accesorios,2,973.83,1947.66
12133,3438,2023-01-04T11:18:03,28,Diferentes Ultra,Monitores,2,1445.35,2890.7
12134,3438,2023-01-04T11:18:03,28,Uso X,Tablets,2,110.66,221.32
14491,4101,2023-01-05T10:51:22,178,Vuelta Ultra,Tablets,2,169.41,338.82
14492,4101,2023-01-05T10:51:22,178,Calle Plus,Monitores,1,1896.63,1896.63
14493,4101,2023-01-05T10:51:22,178,Fuerzas Elite,Monitores,3,1143.99,3431.9700000000003
340,105,2023-01-05T18:40:27,40,Diario Essential,Ratones,3,976.42,2929.2599999999998
341,105,2023-01-05T18:40:27,40,Sobre Z,Software,1,908.58,908.58
9645,2732,2023-01-05T19:00:16,209,Muchas Z,Componentes,3,749.22,2247.66
18676,5288,2023-01-05T19:49:57,131,Muy Air,Componentes,3,1809.26,5427.78
18677,5288,2023-01-05T19:49:57,131,Ahí Z,Altavoces,3,904.96,2714.88
18678,5288,2023-01-05T19:49:57,131,Quiere Elite,Auriculares,3,818.68,2456.04
18679,5288,2023-01-05T19:49:57,131,Llevar X,Impresoras,1,440.6,440.6
18680,5288,2023-01-05T19:49:57,131,Agua Max,Cámaras,1,714.78,714.78
9728,2757,2023-01-05T20:39:41,134,Participación Z,Smartphones,1,1020.24,1020.24
9729,2757,2023-01-05T20:39:41,134,Seguro Z,Auriculares,1,1343.11,1343.11
9730,2757,2023-01-05T20:39:41,134,Democracia Plus,Ratones,1,1899.72,1899.72
9731,2757,2023-01-05T20:39:41,134,Tales X,Portátiles,3,1696.5,5089.5
9732,2757,2023-01-05T20:39:41,134,Nivel Ultra,Altavoces,1,1266.45,1266.45
13322,3771,2023-01-06T14:14:17,48,Busca Ultra,Portátiles,2,1873.93,3747.86
13323,3771,2023-01-06T14:14:17,48,Quiero Plus,Almacenamiento,3,584.33,1752.9900000000002
16169,4564,2023-01-06T17:05:03,173,Modelo Essential,Impresoras,2,459.11,918.22
16170,4564,2023-01-06T17:05:03,173,Posibilidad Plus,Impresoras,2,38.15,76.3
5947,1686,2023-01-06T17:50:12,102,Seis Elite,Teclados,3,1851.88,5555.64
5948,1686,2023-01-06T17:50:12,102,Cine Max,Auriculares,1,705.81,705.81
5949,1686,2023-01-06T17:50:12,102,Otros Max,Componentes,1,1892.48,1892.48
1208,348,2023-01-07T09:49:05,158,Santiago Lite,Redes,3,1579.39,4738.17
1209,348,2023-01-07T09:49:05,158,Amigo Lite,Almacenamiento,2,1005.93,2011.86
1210,348,2023-01-07T09:49:05,158,Mismo Essential,Portátiles,3,775.68,2327.04
1211,348,2023-01-07T09:49:05,158,Cantidad Elite,Teclados,3,477.38,1432.1399999999999
16594,4692,2023-01-07T11:00:17,51,Arte Plus,Accesorios,3,189.84,569.52
16595,4692,2023-01-07T11:00:17,51,Van Elite,Componentes,3,1405.13,4215.39
16596,4692,2023-01-07T11:00:17,51,Joven Lite,Impresoras,3,100.57,301.71
16597,4692,2023-01-07T11:00:17,51,Mano Z,Componentes,2,1276.86,2553.72
16598,4692,2023-01-07T11:00:17,51,Victoria Lite,Componentes,2,1513.59,3027.18
16599,4692,2023-01-07T11:00:17,51,Habían Lite,Cámaras,2,1005.51,2011.02
8851,2513,2023-01-07T11:51:44,241,Sistema Plus,Cámaras,3,1969.04,5907.12
8852,2513,2023-01-07T11:51:44,241,Nada Pro,Componentes,2,1148.12,2296.24
8853,2513,2023-01-07T11:51:44,241,Mayo Lite,Auriculares,1,323.91,323.91
8854,2513,2023-01-07T11:51:44,241,Pone Pro,Almacenamiento,1,1001.76,1001.76
8855,2513,2023-01-07T11:51:44,241,Posible Elite,Accesorios,2,827.43,1654.86
4767,1349,2023-01-07T15:32:30,29,Fuerte Air,Auriculares,2,612.0,1224.0
4768,1349,2023-01-07T15:32:30,29,Pedro Plus,Almacenamiento,2,1716.88,3433.76
17766,5025,2023-01-08T05:15:11,162,Tiempo Elite,Ratones,3,1916.75,5750.25
17767,5025,2023-01-08T05:15:11,162,Muchas Z,Componentes,3,749.22,2247.66
17768,5025,2023-01-08T05:15:11,162,Tipo Lite,Ratones,1,862.93,862.93
17769,5025,2023-01-08T05:15:11,162,Personas Air,Componentes,1,968.87,968.87
7918,2244,2023-01-08T05:57:04,245,Señor Lite,Impresoras,2,1183.27,2366.54
7919,2244,2023-01-08T05:57:04,245,Material Pro,Altavoces,1,310.4,310.4
17971,5085,2023-01-08T16:13:37,138,Pone Pro,Almacenamiento,1,1001.76,1001.76
17972,5085,2023-01-08T16:13:37,138,Horas Pro,Almacenamiento,3,881.84,2645.52
17973,5085,2023-01-08T16:13:37,138,Mañana Ultra,Cámaras,3,1327.25,3981.75
17974,5085,2023-01-08T16:13:37,138,Decía Pro,Almacenamiento,2,541.43,1082.86
17975,5085,2023-01-08T16:13:37,138,Española Z,Software,3,1107.15,3321.4500000000003
17124,4848,2023-01-08T18:57:22,139,Político X,Cámaras,2,148.46,296.92
19290,5460,2023-01-08T21:46:41,5,Color Essential,Accesorios,1,1067.01,1067.01
19291,5460,2023-01-08T21:46:41,5,Experiencia X,Componentes,2,37.69,75.38
19292,5460,2023-01-08T21:46:41,5,Encuentro Air,Monitores,2,493.26,986.52
12207,3460,2023-01-09T00:10:13,56,Río Lite,Impresoras,2,1980.15,3960.3
12208,3460,2023-01-09T00:10:13,56,Puso Essential,Auriculares,1,713.81,713.81
12209,3460,2023-01-09T00:10:13,56,Duda Plus,Portátiles,3,1724.79,5174.37
5265,1489,2023-01-09T00:21:07,248,Pedro Plus,Almacenamiento,2,1716.88,3433.76
5266,1489,2023-01-09T00:21:07,248,Pasó Essential,Teclados,3,10.8,32.400000000000006
3388,962,2023-01-09T02:22:10,89,Bueno Essential,Redes,2,1718.22,3436.44
3389,962,2023-01-09T02:22:10,89,Mantener Elite,Ratones,3,110.06,330.18
3390,962,2023-01-09T02:22:10,89,Formación X,Software,1,1427.17,1427.17
3391,962,2023-01-09T02:22:10,89,Desde Lite,Ratones,1,1439.52,1439.52
3392,962,2023-01-09T02:22:10,89,R Lite,Tablets,3,145.23,435.68999999999994
3393,962,2023-01-09T02:22:10,89,Personal Air,Componentes,2,1960.08,3920.16
20584,5846,2023-01-09T03:13:22,244,Defensa Elite,Accesorios,3,1413.39,4240.17
20585,5846,2023-01-09T03:13:22,244,Existen Ultra,Monitores,1,360.5,360.5
11052,3136,2023-01-09T06:29:35,18,Vida Plus,Auriculares,3,1934.1,5802.299999999999
11053,3136,2023-01-09T06:29:35,18,Conseguir Max,Impresoras,3,1895.69,5687.07
11054,3136,2023-01-09T06:29:35,18,Nuestros Ultra,Tablets,1,126.67,126.67
11055,3136,2023-01-09T06:29:35,18,Realizar Elite,Portátiles,3,454.18,1362.54
11056,3136,2023-01-09T06:29:35,18,Conseguir Max,Impresoras,3,1895.69,5687.07
11057,3136,2023-01-09T06:29:35,18,Civil Lite,Smartphones,3,975.96,2927.88
863,251,2023-01-09T07:52:19,68,Amor Ultra,Ratones,1,1133.13,1133.13
864,251,2023-01-09T07:52:19,68,Ser Pro,Ratones,2,766.95,1533.9
865,251,2023-01-09T07:52:19,68,Ser Pro,Ratones,1,766.95,766.95
866,251,2023-01-09T07:52:19,68,Comercio Essential,Monitores,1,1464.73,1464.73
867,251,2023-01-09T07:52:19,68,Opinión Lite,Auriculares,2,462.91,925.82
1319,383,2023-01-10T00:26:22,60,Base Air,Auriculares,1,1109.51,1109.51
